NºPer.;Desde*;Hasta*;Nombrto/Contrato;Razón de Alta;Plaza;RJ;Cláusula;T.Nombrto;Días;Puesto trabajo;GFH;Dirección;Puesto Sustitutido;Necesidad
00001113;28/04/2026;20260428;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;LIMPIADOR/A;E;S_9B_1a;S9b1a;78;LIMPIADORA;LIMPIEZA;DIRECCIÓN DE SERVICIOS GENERALES;LIMPIADORA;0
00001114;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;LIMPIADOR/A;E;S_9B_1a;S9b1a;240;LIMPIADORA;LIMPIEZA;DIRECCIÓN DE SERVICIOS GENERALES;LIMPIADORA;0
00001115;31/01/2026;20260131;TEMPORAL. T. COM. INTER. N. ESTA;LIBRE DISPOSICION;ENFERMERO/A;E;S_9B_1aV;S9b1a;31;ENFERMERA/O;UDAD.HEMODÍALISIS;DIRECCIÓN DE ENFERMERÍA;ENFERMERA/O;0
00001116;30/03/2026;20260330;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;ENFERMERO/A;E;S_9B_1a;S9b1a;5;ENFERMERA/O;PLANTA 2ª PAR - HOSP.EDIF.A;DIRECCIÓN DE ENFERMERÍA;ENFERMERA/O;0
00001117;30/11/2026;20261130;TEMPORAL. T. COM. INTER. N. ESTA;VACACIONES Y LIBRANZAS;ENFERMERO/A;E;S_9B_1aV;S9b1a;201;ENFERMERA/O;PLANTA 5ª IMPAR - HOSP.EDIF.A;DIRECCIÓN DE ENFERMERÍA;ENFERMERA/O;0
00001118;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;AUXILIAR DE ENFERMERÍA;E;I_9_1a;N91a;365;AUXILIAR DE ENFERMERÍA;PLANTILLA VOLANTE;DIRECCIÓN DE ENFERMERÍA;;0
00001119;31/03/2026;20260331;TEMPORAL. T. COMPLETO. N. ESTATU;ACUMULACION DE TAREAS;TÉCNICO ESP.DOC. SANITARIA;E;I_9_1c;N91c;90;TÉCNICA/O ESPECIALISTA EN DOCUMENTACIÓN SANITARIA;CODIFICACIÓN HISTORIAS CLÍNICAS;DIRECCIÓN MÉDICA;;0
00001120;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;TÉCNICO ESP.DOC. SANITARIA;E;I_9_1a;N91a;275;TÉCNICA/O ESPECIALISTA EN DOCUMENTACIÓN SANITARIA;CODIFICACIÓN HISTORIAS CLÍNICAS;DIRECCIÓN MÉDICA;;0
00001121;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;TÉC ESPECIALISTA / RADIOTERAPIA;E;S_9B_1a;S9b1a;240;TÉCNICO ESPECIALISTA RADIOTERAPIA;EXPLORAC.RADIOTERAPIA;DIRECCIÓN DE ENFERMERÍA;TÉCNICO ESPECIALISTA RADIOTERAPIA;0
00001122;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;ENFERMERO/A;E;I_9_1a;N91a;365;ENFERMERA/O;H.DIA POLIVALENTE - CITOSTATICOS;DIRECCIÓN DE ENFERMERÍA;;0
00001123;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;ENFERMERO/A;E;I_9_1a;N91a;365;ENFERMERA/O;PLANTA 5ª IMPAR - HOSP.EDIF.A;DIRECCIÓN DE ENFERMERÍA;;0
00001124;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;AUXILIAR DE ENFERMERÍA;E;I_9_1a;N91a;365;AUXILIAR DE ENFERMERÍA;ÁREA HOSPITALIZACIÓN DE TRÁNSITO;DIRECCIÓN DE ENFERMERÍA;;0
00001125;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA ANESTESIOLOGÍA Y REANIMACIÓN;E;I_9_1a;N91a;365;FEA ANESTESIOLOGÍA Y REANIMACIÓN;P.MÉDICO ANESTESIA;DIRECCIÓN MÉDICA;;0
00001126;30/06/2026;20260630;TEMPORAL. T. COM. INTER. N. ESTA;PERMISO POR NACIMIENTO;AUXILIAR DE ENFERMERÍA;E;S_9B_1a;S9b1a;29;AUXILIAR DE ENFERMERÍA;U.V.I.;DIRECCIÓN DE ENFERMERÍA;AUXILIAR DE ENFERMERÍA;0
00001127;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;AUXILIAR DE ENFERMERÍA;E;I_9_1a;N91a;217;AUXILIAR DE ENFERMERÍA;PLANTA 2ª CENTRAL A - EDIF.B;DIRECCIÓN DE ENFERMERÍA;;0
